Designator,Mid X,Mid Y,Rotation,Layer
J1,150.0,-120.0,180.0,top
J10,178.0,-136.27,0.0,top
J11,116.27,-89.46,90.0,top
J12,116.27,-111.46,90.0,top
J13,153.0,-136.27,0.0,top
J2,150.0,-80.0,180.0,top
J3,135.0,-135.0,0.0,top
J4,160.0,-135.0,0.0,top
J5,185.0,-135.0,0.0,top
J6,115.0,-95.92,270.0,top
J7,115.0,-117.46,270.0,top
J8,207.5,-115.57,0.0,top
J9,128.0,-136.27,0.0,top
