item,part_number,manufacturer,supplier,qty_per_baseplate,description,drive_type,drive_size,thread_size,thread_type,thread_fit,thread_direction,major_diameter,length,head_type,tip_type,material,hardness,performance,standards,pack_size,price_usd,price_basis,link,notes
set_screw,92311A317,McMaster-Carr,McMaster-Carr,1,18-8 stainless steel cup-tip set screw that locks the miniscope body into the implanted baseplate,Hex,0.035 in (0.89 mm),2-64,UNF (fine),Unified Standard Class 3A,Right hand,0.086 in (2.18 mm),1/8 in (3.18 mm),Headless,Cup,18-8 stainless steel,Rockwell B80,Corrosion resistant,ASME B18.3,10,4.09,per pack of 10,https://www.mcmaster.com/92311A317/,Cup tip digs into the surface for a secure hold.
driver,263P 0.9 (Wiha art. 00520; US catalog 26343),Wiha,Wiha / DigiKey / any precision tool supplier,1,"PicoFinish precision hex screwdriver, 0.9 mm (0.035 in), for tightening the baseplate set screw",Hex,0.035 in (0.9 mm),,,,,,"40 mm blade, 134 mm overall",,,"Chrome-vanadium-molybdenum steel, through hardened, chrome-plated",,ChromTop exact-fit tip; rotating cap for fingertip control,,1,6.42,"each (DigiKey, 26343); approx EUR 8.43 retail in EU",https://www.digikey.com/en/products/detail/wiha/26343/1987746,Tool in use in the lab. Nothing special about this exact model - any precision driver that fits the 0.035 in / 0.9 mm hex socket of 92311A317 works. Avoid Torx or star tips that merely engage the hex; a mismatched tip will round out the socket on a screw that is repeatedly loosened and retightened.
